0xf470 0xfe70 E 674246425
0xf470 0xfe70 X 674250832
0xf8cc 0xfe8c E 674254443
0x12c08 0xf9a1 E 674258188
0x12c08 0xf9a1 X 674261636
0x12c08 0xf9a1 E 674265361
0x12c08 0xf9a1 X 674268856
0xf8cc 0xfe8c X 674272290
0xf9f2 0x11b26 X 674275984
0x10d8d 0x11b32 E 674279900
0xfea2 0x10dd1 E 674283525
0xfea2 0x10dd1 X 674294717
0xfea2 0x10df5 E 674298467
0xfea2 0x10df5 X 674302491
0xf9f2 0x10e0f E 674305954
0xf1dc 0xfc27 E 674310405
0xf1dc 0xfc27 X 674314025
0xf1dc 0xfc27 E 674317425
0xf1dc 0xfc27 X 674321521
0xf1dc 0xfc27 E 674324862
0xf1dc 0xfc27 X 674328678
0xf1dc 0xfc8c E 674332296
0xf1dc 0xfc8c X 674335834
0xf1dc 0xfe0e E 674339633
0xf1dc 0xfe0e X 674343349
0xf1dc 0xfc8c E 674346977
0xf1dc 0xfc8c X 674350775
0xf1dc 0xfe0e E 674354918
0xf1dc 0xfe0e X 674359082
0xf1dc 0xfc8c E 674362721
0xf1dc 0xfc8c X 674366392
0xf1dc 0xfe0e E 674370261
0xf1dc 0xfe0e X 674373938
0xf1dc 0xfc8c E 674377693
0xf1dc 0xfc8c X 674381321
0xf1dc 0xfe0e E 674385162
0xf1dc 0xfe0e X 674389077
0xf1dc 0xfc8c E 674392604
0xf1dc 0xfc8c X 674395610
0xf1dc 0xfe0e E 674398704
0xf1dc 0xfe0e X 674401633
0xf470 0xfe70 E 674404563
0xf470 0xfe70 X 674409383
0xf8cc 0xfe8c E 674412876
0x12c08 0xf9a1 E 674416811
0x12c08 0xf9a1 X 674420682
0x12c08 0xf9a1 E 674424964
0x12c08 0xf9a1 X 674429085
0x12c08 0xf9a1 E 674432898
0x12c08 0xf9a1 X 674436794
0x12c08 0xf9a1 E 674440678
0x12c08 0xf9a1 X 674444350
0x12c08 0xf9a1 E 674447836
0x12c08 0xf9a1 X 674450946
0x12c08 0xf9a1 E 674454100
0x12c08 0xf9a1 X 674457229
0xf8cc 0xfe8c X 674460309
0xf9f2 0x10e0f X 674463628
0x10d8d 0x11b32 X 674467386
0x120bd 0x11d49 E 674471498
0x120bd 0x11d49 X 674476682
0xf0d2 0x11f01 E 674479849
0xf0d2 0x11f01 X 674486317
0x12d97 0x11f13 E 674490129
0x12d97 0x11f13 X 674493689
0x11a89 0xa190 X 674496758
0x63ea 0xa1b6 E 674500643
0x1175c 0x6421 E 674504188
0x12c64 0x11787 E 674507857
0x12c64 0x11787 X 674511442
0x1175c 0x6421 X 674514599
0x63ea 0xa1b6 X 674518160
0x9823 0x746a X 674522050
0x6363 0x7784 E 674525732
0x6363 0x7784 X 674528975
0x6363 0x779d E 674532720
0x6363 0x779d X 674535863
0x63ea 0x77a9 E 674539025
0x1175c 0x6421 E 674542577
0x12c64 0x11787 E 674546482
0x12c64 0x11787 X 674550150
0x1175c 0x6421 X 674553922
0x63ea 0x77a9 X 674558146
0x650a 0x131b7 X 674562204
0x77f3 0x131e7 E 674566787
0x54c7 0x781f E 674571421
0x54c7 0x781f X 674575290
0x12fe3 0x7870 E 674580340
0x12fe3 0x7870 X 674612299
0x12fe3 0x78a5 E 674616606
0x12fe3 0x78a5 X 674627217
0x12fe3 0x78da E 674631410
0x12fe3 0x78da X 674662121
0x12fe3 0x790f E 674666392
0x12fe3 0x790f X 674709922
0x12fe3 0x792f E 674714070
0x12fe3 0x792f X 674727530
0x77f3 0x131e7 X 674732304
0x13028 0x1327a X 674736817
0x13230 0x3336 X 674741511
0x135ad 0x3399 E 674747424
0x13301 0x135f1 E 674751965
0xb25c 0x133f7 E 674757738
0xb0ea 0xb29b E 674763142
0x12f8c 0xb1bb E 674767485
0x12f8c 0xb1bb X 674772319
0xafdb 0xb20c E 674776886
0xad3c 0xb00a E 674781132
0xad3c 0xb00a X 674785290
0xaf4d 0xb0cc E 674789957
0xad3c 0xaf79 E 674793730
0xad3c 0xaf79 X 674798401
0xade8 0xafbd E 674803158
0xad3c 0xae14 E 674807185
0xad3c 0xae14 X 674810977
0xade8 0xafbd X 674815371
0xaf4d 0xb0cc X 674819389
0xafdb 0xb20c X 674823485
0xb0ea 0xb29b X 674827662
0xb25c 0x133f7 X 674831774
0xb65d 0x134a8 E 674836774
0xad3c 0xb69b E 674840733
0xad3c 0xb69b X 674844349
0x17666 0xb9c7 E 674852299
0x1706a 0x176a3 E 674857731
0x1706a 0x176a3 X 674862199
0x17666 0xb9c7 X 674866626
0xb3b6 0xc4bd E 674871499
0xb3b6 0xc4bd X 674875366
0x18adf 0xce48 E 674882543
0x18adf 0xce48 X 674889329
0x18adf 0xce48 E 674893938
0x18adf 0xce48 X 674898287
0x18adf 0xce48 E 674940352
0x18adf 0xce48 X 674944996
0x17666 0xd6fd E 674951019
0x1706a 0x176a3 E 674955394
0x1706a 0x176a3 X 674960049
0x17666 0xd6fd X 674963996
0xb65d 0x134a8 X 674968829
0xdb46 0x13530 E 674973582
0xad3c 0xdb72 E 674977513
0xad3c 0xdb72 X 674981374
0x12fe3 0xdbd6 E 674985871
0x12fe3 0xdbd6 X 674990588
0xdb46 0x13530 X 674994553
0x13301 0x135f1 X 674999671
0x135ad 0x3399 X 675004386
0x32d9 0x4dc8 X 675030345
0x3442 0x4df2 E 675036072
0x13b2d 0x349d E 675041621
0x13737 0x13b66 E 675046070
0x1368e 0x13b0c E 675142398
0x14538 0x13707 E 675150082
0x14538 0x13707 X 675155202
0x1368e 0x13b0c X 675159494
0x13737 0x13b66 X 675163378
0x13b2d 0x349d X 675167585
0x16588 0x34e3 E 675174424
0x1616e 0x166f5 E 675180029
0x15b7c 0x161c6 E 675184454
0x505f 0x15cba E 675207737
0x12f8c 0x51c9 E 675212813
0x12f8c 0x51c9 X 675222194
0x12f8c 0x52e2 E 675226579
0x12f8c 0x52e2 X 675236759
0x12f8c 0x530e E 675241027
0x12f8c 0x530e X 675257572
0x12f8c 0x533d E 675261655
0x12f8c 0x533d X 675271842
0x12f8c 0x5398 E 675276288
0x12f8c 0x5398 X 675285894
0x5b90 0x54a9 E 675303009
0x5a37 0x5bbc E 675304098
0x54c7 0x5a63 E 675305053
0x54c7 0x5a63 X 675305947
0x17a07 0x5b3a E 675307198
0x17949 0x17a44 E 675308243
0x17949 0x17a44 X 675309186
0x17a07 0x5b3a X 675310153
0xeff9 0x5b6f E 675323878
0xefcc 0xf01d E 675324844
0xefcc 0xf01d X 675325709
0xf0d2 0xf0bc E 675326587
0xf0d2 0xf0bc X 675328193
0xeff9 0x5b6f X 675329154
0x5a37 0x5bbc X 675330099
0x7de0 0x5bd5 E 675331041
0x7de0 0x5bd5 X 675395070
0x5b90 0x54a9 X 675396180
0x505f 0x15cba X 675397143
0x15b7c 0x161c6 X 675398363
0x1616e 0x166f5 X 675399434
0x16588 0x34e3 X 675400507
0x16738 0x34f6 E 675401788
0x1616e 0x167b9 E 675402839
0x1616e 0x167b9 X 675403808
0x16738 0x34f6 X 675404824
0x16a49 0x3555 E 675406107
0x167ef 0x16b18 E 675407144
0x167ef 0x16b18 X 675426014
0x16a49 0x3555 X 675426966
0x140db 0x35ab E 675428479
0x13dfd 0x14118 E 675429687
0x13dfd 0x14118 X 675430708
0x140db 0x35ab X 675431531
0x1360f 0x35b7 E 675432414
0x16d81 0x1366f E 675433560
0x16044 0x16e06 E 675434263
0x15d78 0x16090 E 675434908
0x650a 0x15fd5 E 675435924
0x54c7 0x6539 E 675436551
0x54c7 0x6539 X 675437197
0x17a07 0x6854 E 675438049
0x17949 0x17a44 E 675438796
0x17949 0x17a44 X 675439453
0x17a07 0x6854 X 675440159
0x63ea 0x6a17 E 675440913
0x1175c 0x6421 E 675441640
0x12c64 0x11787 E 675442246
0x12c64 0x11787 X 675442868
0x1175c 0x6421 X 675443496
0x63ea 0x6a17 X 675444216
0x9823 0x746a E 675445038
0x82b1 0x9863 E 675445752
0x7cb6 0x83ff E 675446420
0x17a07 0x7d8f E 675447163
0x17949 0x17a44 E 675447906
0x17a64 0x179b7 E 675448706
0x17a64 0x179b7 X 675450039
0x17949 0x17a44 X 675450936
0x17a07 0x7d8f X 675451763
0x7cb6 0x83ff X 675465231
0x82b1 0x9863 X 675466122
0x9823 0x746a X 675466846
0x650a 0x15fd5 X 675467557
0x650a 0x15fd5 E 675468515
0x54c7 0x6539 E 675469143
0x54c7 0x6539 X 675469863
0x650a 0x15fd5 X 675470682
0x15d78 0x16090 X 675471445
0x15d78 0x1612f E 675472268
0x650a 0x15fd5 E 675472964
0x54c7 0x6539 E 675473765
0x54c7 0x6539 X 675474385
0x9823 0x746a E 675475221
0x82b1 0x9863 E 675475886
0x7cb6 0x83ff E 675476534
0x17a07 0x7d8f E 675477432
0x17949 0x17a44 E 675478149
0x17a64 0x179b7 E 675478917
0x17a64 0x179b7 X 675480017
0x17949 0x17a44 X 675480856
0x17a07 0x7d8f X 675481614
0x7cb6 0x83ff X 675482278
0x82b1 0x9863 X 675483126
0x9823 0x746a X 675483912
0x650a 0x15fd5 X 675484646
0x15d78 0x1612f X 675485464
0x16044 0x16e06 X 675486272
0x15d78 0x16e26 E 675487074
0x650a 0x15fd5 E 675487924
0x54c7 0x6539 E 675488608
0x54c7 0x6539 X 675489304
0x9823 0x746a E 675490130
0x82b1 0x9863 E 675490880
0x82b1 0x9863 X 675491586
0x82b1 0x9863 E 675492246
0x82b1 0x9863 X 675492957
0x82b1 0x9863 E 675497044
0x82b1 0x9863 X 675497887
0x82b1 0x9863 E 675498678
0x82b1 0x9863 X 675499346
0x82b1 0x9863 E 675500050
0x82b1 0x9863 X 675500695
0x82b1 0x9863 E 675501426
0x82b1 0x9863 X 675502093
0x82b1 0x9863 E 675502884
0x82b1 0x9863 X 675503784
0x82b1 0x9863 E 675504693
0x82b1 0x9863 X 675505637
0x82b1 0x9863 E 675506626
0x82b1 0x9863 X 675507546
0x7f97 0x9a03 E 675508502
0x7f97 0x9a03 X 675509375
0x82b1 0x9863 E 675510157
0x82b1 0x9863 X 675519219
0x7f97 0x9a03 E 675519893
0x7f97 0x9a03 X 675520641
0x82b1 0x9863 E 675521441
0x82b1 0x9863 X 675522130
0x82b1 0x9863 E 675522789
0x82b1 0x9863 X 675523407
0x82b1 0x9863 E 675524163
0x82b1 0x9863 X 675524885
0x11a89 0xa190 E 675525698
0x12b10 0x11aef E 675526461
0x12b10 0x11aef X 675527066
0xf9f2 0x11b0c E 675527741
0xf1dc 0xfc27 E 675529377
0xf1dc 0xfc27 X 675530299
0xf1dc 0xfc27 E 675531097
0xf1dc 0xfc27 X 675531865
0xf1dc 0xfc27 E 675532543
0xf1dc 0xfc27 X 675545800
0xf1dc 0xfc27 E 675546502
0xf1dc 0xfc27 X 675547316
0xf1dc 0xfc27 E 675547962
0xf1dc 0xfc27 X 675548694
0xf1dc 0xfc8c E 675549541
0xf1dc 0xfc8c X 675550256
0xf1dc 0xfe0e E 675550921
0xf1dc 0xfe0e X 675551574
0xf1dc 0xfc8c E 675552244
0xf1dc 0xfc8c X 675552989
0xf1dc 0xfe0e E 675553703
0xf1dc 0xfe0e X 675554471
0xf1dc 0xfc8c E 675555252
0xf1dc 0xfc8c X 675556042
0xf1dc 0xfe0e E 675556785
0xf1dc 0xfe0e X 675557619
0xf1dc 0xfc8c E 675558346
0xf1dc 0xfc8c X 675559229
0xf1dc 0xfe0e E 675559899
0xf1dc 0xfe0e X 675560699
0xf1dc 0xfc8c E 675561491
0xf1dc 0xfc8c X 675562296
0xf1dc 0xfe0e E 675563083
0xf1dc 0xfe0e X 675563857
0xf1dc 0xfc8c E 675564573
0xf1dc 0xfc8c X 675565356
0xf1dc 0xfe0e E 675566122
0xf1dc 0xfe0e X 675566926
